tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM
9606	Homo sapiens	21	0	live	ABCA3	"ABC-C, ABC3, EST111653, LBM180, SMDP3"	ATP binding cassette subfamily A member 3	"ATP-binding cassette sub-family A member 3|ABC transporter 3|ABC-C transporter|ATP-binding cassette transporter 3|ATP-binding cassette, sub-family A (ABC1), member 3"	16p13.3	16	NC_000016.10	2275881	2340728	minus	33	601615
9606	Homo sapiens	26090	0	live	ABHD12	"ABHD12A, BEM46L2, C20orf22, PHARC, dJ965G21.2, hABHD12"	abhydrolase domain containing 12	lysophosphatidylserine lipase ABHD12|2-arachidonoylglycerol hydrolase|2-arachidonoylglycerol hydrolase ABHD12|abhydrolase domain-containing protein 12|monoacylglycerol lipase ABHD12|oxidized phosphatidylserine lipase ABHD12	20p11.21	20	NC_000020.11	25294743	25390835	minus	16	613599
9606	Homo sapiens	79611	0	live	ACSS3		acyl-CoA synthetase short chain family member 3	"acyl-CoA synthetase short-chain family member 3, mitochondrial|AMP-binding enzyme, 33217"	12q21.31	12	NC_000012.12	81078037	81261210	plus	19	614356
9606	Homo sapiens	8754	0	live	ADAM9	"CORD9, MCMP, MDC9, Mltng"	ADAM metallopeptidase domain 9	disintegrin and metalloproteinase domain-containing protein 9|ADAM metallopeptidase domain 9 (meltrin gamma)|cellular disintegrin-related protein|cone rod dystrophy 9|metalloprotease/disintegrin/cysteine-rich protein 9|myeloma cell metalloproteinase	8p11.22	8	NC_000008.11	38996767	39105261	plus	25	602713
9606	Homo sapiens	54507	0	live	ADAMTSL4	"ADAMTSL-4, ECTOL2, TSRC1"	ADAMTS like 4	ADAMTS-like protein 4|thrombospondin repeat-containing protein 1	1q21.2	1	NC_000001.11	150549369	150560937	plus	21	610113
9606	Homo sapiens	55750	0	live	AGK	"CATC5, CTRCT38, MTDPS10, MULK"	acylglycerol kinase	"acylglycerol kinase, mitochondrial|hAGK|hsMuLK|multi-substrate lipid kinase|multiple substrate lipid kinase"	7q34	7	NC_000007.14	141551410	141662153	plus	19	610345
9606	Homo sapiens	23746	0	live	AIPL1	"AIPL2, LCA4"	aryl hydrocarbon receptor interacting protein like 1	aryl-hydrocarbon-interacting protein-like 1	17p13.2	17	NC_000017.11	6423738	6435121	minus	6	604392
9606	Homo sapiens	231	0	live	AKR1B1	"ADR, ALDR1, ALR2, AR"	aldo-keto reductase family 1 member B	aldo-keto reductase family 1 member B1|Lii5-2 CTCL tumor antigen|aldehyde reductase 1|aldose reductase|low Km aldose reductase	7q33	7	NC_000007.14	134442350	134459239	minus	11	103880
9606	Homo sapiens	229	0	live	ALDOB	"ALDB, ALDO2"	"aldolase, fructose-bisphosphate B"	"fructose-bisphosphate aldolase B|aldolase 2|aldolase B, fructose-bisphosphatase|aldolase B, fructose-bisphosphate|liver-type aldolase"	9q31.1	9	NC_000009.12	101420560	101435774	minus	9	612724
9606	Homo sapiens	328	0	live	APEX1	"APE, APE1, APEN, APEX, APX, HAP1, REF1"	apurinic/apyrimidinic endodeoxyribonuclease 1	DNA-(apurinic or apyrimidinic site) lyase|AP endonuclease class I|AP lyase|APEX nuclease (multifunctional DNA repair enzyme) 1|apurinic-apyrimidinic endonuclease 1|apurinic/apyrimidinic (abasic) endonuclease|deoxyribonuclease (apurinic or apyrimidinic)|protein REF-1|redox factor-1	14q11.2	14	NC_000014.9	20455226	20457767	plus	5	107748
